Survived;Fare;Pclass_3;Sex_male;Name_Miss;Name_Mr;Name_Mrs;Cabin_B;Cabin_D;Cabin_N;PassengerId
0.0;52.0;0;1;0;1;0;0;0;0;476
1.0;10.5;0;0;1;0;0;0;0;1;57
1.0;512.3292;0;0;1;0;0;0;0;1;259
1.0;30.0;0;1;0;1;0;0;1;0;741
0.0;110.8833;0;1;0;1;0;0;0;0;699
1.0;56.4958;1;1;0;1;0;0;0;1;693
0.0;7.7958;1;1;0;1;0;0;0;1;396
1.0;55.0;0;0;1;0;0;0;0;0;357
0.0;7.925;1;0;1;0;0;0;0;1;817
0.0;7.775;1;1;0;1;0;0;0;1;668
0.0;7.25;1;1;0;1;0;0;0;1;426
1.0;19.2583;1;0;0;0;1;0;0;1;859
0.0;7.75;1;1;0;1;0;0;0;1;127
0.0;8.05;1;0;0;0;1;0;0;1;416
0.0;7.8542;1;1;0;1;0;0;0;1;176
1.0;7.925;1;0;1;0;0;0;0;1;3
1.0;7.75;1;0;1;0;0;0;0;1;574
0.0;23.45;1;0;1;0;0;0;0;1;889
1.0;8.0292;1;0;1;0;0;0;0;1;23
1.0;89.1042;0;0;0;0;1;0;0;0;850
0.0;7.5208;1;1;0;1;0;0;0;1;479
1.0;26.0;0;0;0;0;1;0;0;1;317
0.0;7.75;1;0;1;0;0;0;0;1;265
0.0;10.5;0;1;0;1;0;0;0;1;71
0.0;7.2292;1;1;0;1;0;0;0;1;533
0.0;8.05;1;1;0;1;0;0;0;1;88
0.0;14.4542;1;1;0;1;0;0;0;1;74
0.0;7.8958;1;0;1;0;0;0;0;1;101
0.0;13.0;0;1;0;1;0;0;0;1;734
0.0;13.0;0;1;0;1;0;0;0;1;659
0.0;8.4583;1;1;0;1;0;0;0;1;6
0.0;14.0;0;1;0;0;0;0;0;1;318
0.0;79.2;0;1;0;1;0;1;0;0;140
0.0;47.1;0;1;0;1;0;0;0;1;84
0.0;8.6625;1;1;0;1;0;0;0;1;286
0.0;29.125;1;1;0;0;0;0;0;1;788
0.0;8.6625;1;1;0;1;0;0;0;1;726
1.0;56.4958;1;1;0;1;0;0;0;1;510
0.0;7.8958;1;1;0;1;0;0;0;1;522
0.0;7.7333;1;1;0;1;0;0;0;1;422
0.0;211.5;0;1;0;1;0;0;0;0;378
1.0;10.5;0;0;0;0;1;0;0;0;67
0.0;106.425;0;1;0;1;0;0;0;0;545
0.0;7.775;1;1;0;1;0;0;0;1;443
1.0;27.7208;0;0;0;0;1;1;0;0;195
1.0;26.55;0;1;0;1;0;0;0;1;605
0.0;13.0;0;1;0;1;0;0;0;1;192
0.0;71.0;0;1;0;0;0;1;0;0;746
0.0;24.15;1;1;0;1;0;0;0;1;566
0.0;32.3208;0;1;0;1;0;0;1;0;626
0.0;7.75;1;1;0;1;0;0;0;1;791
1.0;10.5;0;0;1;0;0;0;0;1;527
1.0;57.9792;0;0;0;0;1;1;0;0;524
1.0;7.925;1;0;1;0;0;0;0;1;217
1.0;86.5;0;0;0;0;0;1;0;0;760
1.0;80.0;0;0;1;0;0;1;0;0;62
0.0;21.075;1;0;1;0;0;0;0;1;25
1.0;80.0;0;0;0;0;1;1;0;0;830
