tecnica;accuracy;roc_auc_score;f1_score;log_loss;precision;recall;identificador_aleatorio1;identificador_aleatorio2;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params;versao_dados
AdaBoostClassifier;0.8320000000000001;0.8126031920748487;0.7640449438202247;5.802572005359969;0.7906976744186046;0.7391304347826086;9544057;4882155;train_test_split 20%;Não utilizado;Não utilizado;"[('AdaBoostClassifier', AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None))]";{'AdaBoostClassifier__n_estimators': [5, 25, 50, 75, 100], 'AdaBoostClassifier__learning_rate': [0.5, 1.0, 1.5], 'AdaBoostClassifier__algorithm': ('SAMME', 'SAMME.R')};18;1;7;"Pipeline(memory=None,
         steps=[('AdaBoostClassifier',
                 AdaBoostClassifier(algorithm='SAMME', base_estimator=None,
                                    learning_rate=0.5, n_estimators=75,
                                    random_state=None))],
         verbose=False)";{'AdaBoostClassifier__n_estimators': 75, 'AdaBoostClassifier__learning_rate': 0.5, 'AdaBoostClassifier__algorithm': 'SAMME'};3.3
BaggingClassifier;0.856;0.8542927903137039;0.8125;4.973654165440997;0.78;0.8478260869565217;940418;7228513;train_test_split 20%;Não utilizado;Não utilizado;"[('BaggingClassifier', BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=None, verbose=0,
                  warm_start=False))]";{'BaggingClassifier__n_estimators': [5, 10, 15], 'BaggingClassifier__bootstrap_features': [True, False], 'BaggingClassifier__oob_score': [True, False]};18;8;6;"Pipeline(memory=None,
         steps=[('BaggingClassifier',
                 BaggingClassifier(base_estimator=None, bootstrap=True,
                                   bootstrap_features=True, max_features=1.0,
                                   max_samples=1.0, n_estimators=15,
                                   n_jobs=None, oob_score=False,
                                   random_state=None, verbose=0,
                                   warm_start=False))],
         verbose=False)";{'BaggingClassifier__oob_score': False, 'BaggingClassifier__n_estimators': 15, 'BaggingClassifier__bootstrap_features': True};3.3
BernoulliNB;0.848;0.8343423225096313;0.7912087912087912;5.2499515830413985;0.8;0.7826086956521741;319695;318883;train_test_split 20%;Não utilizado;Não utilizado;[('BernoulliNB', BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True))];{'BernoulliNB__alpha': [0, 0.5, 1.0, 1.5, 2], 'BernoulliNB__fit_prior': [True, False]};18;21;3;"Pipeline(memory=None,
         steps=[('BernoulliNB',
                 BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None,
                             fit_prior=True))],
         verbose=False)";{'BernoulliNB__fit_prior': True, 'BernoulliNB__alpha': 1.0};3.3
CalibratedClassifierCV;0.8079999999999999;0.7936158503026968;0.7391304347826085;6.63152182917615;0.7391304347826086;0.7391304347826086;5640709;7911152;train_test_split 20%;Não utilizado;Não utilizado;[('CalibratedClassifierCV', CalibratedClassifierCV(base_estimator=None, cv=None, method='sigmoid'))];{'CalibratedClassifierCV__method': ('sigmoid', 'isotonic'), 'CalibratedClassifierCV__cv': [3, 5, 10]};18;11;3;"Pipeline(memory=None,
         steps=[('CalibratedClassifierCV',
                 CalibratedClassifierCV(base_estimator=None, cv=5,
                                        method='sigmoid'))],
         verbose=False)";{'CalibratedClassifierCV__method': 'sigmoid', 'CalibratedClassifierCV__cv': 5};3.3
DecisionTreeClassifier;0.76;0.7647220693450744;0.7058823529411765;8.289434270367398;0.6428571428571429;0.7826086956521741;1700700;4976718;train_test_split 20%;Não utilizado;Não utilizado;"[('DecisionTreeClassifier', DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                       max_depth=None, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best'))]";{'DecisionTreeClassifier__criterion': ('gini', 'entropy'), 'DecisionTreeClassifier__splitter': ('best', 'random')};18;41;10;"Pipeline(memory=None,
         steps=[('DecisionTreeClassifier',
                 DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None,
                                        criterion='entropy', max_depth=None,
                                        max_features=None, max_leaf_nodes=None,
                                        min_impurity_decrease=0.0,
                                        min_impurity_split=None,
                                        min_samples_leaf=1, min_samples_split=2,
                                        min_weight_fraction_leaf=0.0,
                                        presort='deprecated', random_state=None,
                                        splitter='best'))],
         verbose=False)";{'DecisionTreeClassifier__splitter': 'best', 'DecisionTreeClassifier__criterion': 'entropy'};3.3
ExtraTreeClassifier;0.736;0.7366538249862411;0.6732673267326733;9.118371300624695;0.6181818181818182;0.7391304347826086;2462463;2055359;train_test_split 20%;Não utilizado;Não utilizado;"[('ExtraTreeClassifier', ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, random_state=None,
                    splitter='random'))]";{'ExtraTreeClassifier__criterion': ('gini', 'entropy'), 'ExtraTreeClassifier__max_features': ('auto', 'sqrt', 'log2')};18;13;9;"Pipeline(memory=None,
         steps=[('ExtraTreeClassifier',
                 ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None,
                                     criterion='gini', max_depth=None,
                                     max_features='sqrt', max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     random_state=None, splitter='random'))],
         verbose=False)";{'ExtraTreeClassifier__max_features': 'sqrt', 'ExtraTreeClassifier__criterion': 'gini'};3.3
ExtraTreesClassifier;0.7759999999999999;0.7682993946064942;0.7083333333333334;7.736788260931059;0.68;0.7391304347826086;120071;4747720;train_test_split 20%;Não utilizado;Não utilizado;"[('ExtraTreesClassifier', ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='auto',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=100,
                     n_jobs=None, oob_score=False, random_state=None, verbose=0,
                     warm_start=False))]";{'ExtraTreesClassifier__criterion': ('gini', 'entropy'), 'ExtraTreesClassifier__max_features': ('auto', 'sqrt', 'log2')};18;6;10;"Pipeline(memory=None,
         steps=[('ExtraTreesClassifier',
                 ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0,
                                      class_weight=None, criterion='entropy',
                                      max_depth=None, max_features='auto',
                                      max_leaf_nodes=None, max_samples=None,
                                      min_impurity_decrease=0.0,
                                      min_impurity_split=None,
                                      min_samples_leaf=1, min_samples_split=2,
                                      min_weight_fraction_leaf=0.0,
                                      n_estimators=100, n_jobs=None,
                                      oob_score=False, random_state=None,
                                      verbose=0, warm_start=False))],
         verbose=False)";{'ExtraTreesClassifier__max_features': 'auto', 'ExtraTreesClassifier__criterion': 'entropy'};3.3
GaussianProcessClassifier;0.7440000000000001;0.7248211337369291;0.6521739130434783;8.8420291055682;0.6521739130434783;0.6521739130434783;6812334;4500007;train_test_split 20%;Não utilizado;Não utilizado;"[('GaussianProcessClassifier', GaussianProcessClassifier(copy_X_train=True, kernel=None, max_iter_predict=100,
                          multi_class='one_vs_rest', n_jobs=None,
                          n_restarts_optimizer=0, optimizer='fmin_l_bfgs_b',
                          random_state=None, warm_start=False))]";{'GaussianProcessClassifier__n_restarts_optimizer': [0, 5, 10, 15], 'GaussianProcessClassifier__max_iter_predict': [10, 100, 1000]};18;27;3;"Pipeline(memory=None,
         steps=[('GaussianProcessClassifier',
                 GaussianProcessClassifier(copy_X_train=True, kernel=None,
                                           max_iter_predict=10,
                                           multi_class='one_vs_rest',
                                           n_jobs=None, n_restarts_optimizer=10,
                                           optimizer='fmin_l_bfgs_b',
                                           random_state=None,
                                           warm_start=False))],
         verbose=False)";{'GaussianProcessClassifier__n_restarts_optimizer': 10, 'GaussianProcessClassifier__max_iter_predict': 10};3.3
GradientBoostingClassifier;0.84;0.8234727572922401;0.7777777777777778;5.526261794200684;0.7954545454545454;0.7608695652173914;5102146;5572746;train_test_split 20%;Não utilizado;Não utilizado;"[('GradientBoostingClassifier', GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features=None, max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=1, min_samples_split=2,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'GradientBoostingClassifier__loss': ('deviance', 'exponential'), 'GradientBoostingClassifier__learning_rate': [0.1, 0.2, 0.001], 'GradientBoostingClassifier__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingClassifier__max_features': ('auto', 'sqrt', 'log2')};18;11;9;"Pipeline(memory=None,
         steps=[('GradientBoostingClassifier',
                 GradientBoostingClassifier(ccp_alpha=0.0,
                                            criterion='friedman_mse', init=None,
                                            learning_rate=0.2,
                                            loss='exponential', max_depth=3,
                                            max_features='auto',
                                            max_leaf_nodes=None,
                                            min_impurity_decrease=0.0,
                                            min_impurity_split=None,
                                            min_samples_leaf=1,
                                            min_samples_split=2,
                                            min_weight_fraction_leaf=0.0,
                                            n_estimators=100,
                                            n_iter_no_change=None,
                                            presort='deprecated',
                                            random_state=None, subsample=1.0,
                                            tol=0.0001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'GradientBoostingClassifier__max_features': 'auto', 'GradientBoostingClassifier__loss': 'exponential', 'GradientBoostingClassifier__learning_rate': 0.2, 'GradientBoostingClassifier__criterion': 'friedman_mse'};3.3
KNeighborsClassifier;0.7759999999999999;0.7682993946064942;0.7083333333333334;7.736788260931058;0.68;0.7391304347826086;8958899;1061209;train_test_split 20%;Não utilizado;Não utilizado;"[('KNeighborsClassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform'))]";{'KNeighborsClassifier__n_neighbors': [3, 5, 7, 9], 'KNeighborsClassifier__weights': ('uniform', 'distance'), 'KNeighborsClassifier__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsClassifier__p': [1, 2]};18;7;5;"Pipeline(memory=None,
         steps=[('KNeighborsClassifier',
                 KNeighborsClassifier(algorithm='kd_tree', leaf_size=30,
                                      metric='minkowski', metric_params=None,
                                      n_jobs=None, n_neighbors=9, p=1,
                                      weights='distance'))],
         verbose=False)";{'KNeighborsClassifier__weights': 'distance', 'KNeighborsClassifier__p': 1, 'KNeighborsClassifier__n_neighbors': 9, 'KNeighborsClassifier__algorithm': 'kd_tree'};3.3
