tecnica;accuracy;roc_auc_score;auc;f1_score;log_loss;precision;recall;identificador_aleatorio1;identificador_aleatorio2;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params;versao_dados
AdaBoostClassifier;0.7914438502673797;0.7940821256038648;0.8841183574879226;0.7483870967741936;7.2033811194506505;0.6987951807228916;0.8055555555555556;5107697;8380792;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('AdaBoostClassifier', AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'AdaBoostClassifier__n_estimators': [5, 25, 50, 75, 100], 'AdaBoostClassifier__learning_rate': [0.5, 1.0, 1.5], 'AdaBoostClassifier__algorithm': ('SAMME', 'SAMME.R')};29;41;8;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=9,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('AdaBoostClassifier',
                 AdaBoostClassifier(algorithm='SAMME', base_estimator=None,
                                    learning_rate=0.5, n_estimators=100,
                                    random_state=None))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 9, 'nmf__init': 'random', 'AdaBoostClassifier__n_estimators': 100, 'AdaBoostClassifier__learning_rate': 0.5, 'AdaBoostClassifier__algorithm': 'SAMME'};3_4
BaggingClassifier;0.7967914438502673;0.7542874396135265;0.8720410628019324;0.6833333333333332;7.018604813842874;0.8541666666666666;0.5694444444444444;9448123;3718929;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('BaggingClassifier', BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=None, verbose=0,
                  warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'BaggingClassifier__n_estimators': [5, 10, 15], 'BaggingClassifier__bootstrap_features': [True, False], 'BaggingClassifier__oob_score': [True, False]};29;15;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=11,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('BaggingClassifier',
                 BaggingClassifier(base_estimator=None, bootstrap=True,
                                   bootstrap_features=True, max_features=1.0,
                                   max_samples=1.0, n_estimators=15,
                                   n_jobs=None, oob_score=True,
                                   random_state=None, verbose=0,
                                   warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 11, 'nmf__init': 'random', 'BaggingClassifier__oob_score': True, 'BaggingClassifier__n_estimators': 15, 'BaggingClassifier__bootstrap_features': True};3_4
BernoulliNB;0.7647058823529411;0.7593599033816425;0.8364130434782607;0.7066666666666668;8.12687781450174;0.6794871794871795;0.7361111111111112;1208291;7959870;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('BernoulliNB', BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'BernoulliNB__alpha': [0, 0.5, 1.0, 1.5, 2], 'BernoulliNB__fit_prior': [True, False]};29;27;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('BernoulliNB',
                 BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None,
                             fit_prior=True))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 5, 'nmf__init': 'nndsvda', 'BernoulliNB__fit_prior': True, 'BernoulliNB__alpha': 1.0};3_4
CalibratedClassifierCV;0.7807486631016043;0.7853864734299518;0.8760265700483094;0.7388535031847134;7.5727883493152595;0.6823529411764706;0.8055555555555556;8341088;8219626;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('CalibratedClassifierCV', CalibratedClassifierCV(base_estimator=None, cv=None, method='sigmoid'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'CalibratedClassifierCV__method': ('sigmoid', 'isotonic'), 'CalibratedClassifierCV__cv': [3, 5, 10]};29;7;7;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=None,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('CalibratedClassifierCV',
                 CalibratedClassifierCV(base_estimator=None, cv=3,
                                        method='sigmoid'))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': None, 'nmf__init': 'nndsvdar', 'CalibratedClassifierCV__method': 'sigmoid', 'CalibratedClassifierCV__cv': 3};3_4
ExtraTreeClassifier;0.5775401069518716;0.6331521739130435;0.8237318840579709;0.6146341463414634;14.59154709635325;0.4736842105263158;0.875;1942461;1698129;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreeClassifier', ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, random_state=None,
                    splitter='random'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreeClassifier__criterion': ('gini', 'entropy'), 'ExtraTreeClassifier__max_features': ('auto', 'sqrt', 'log2')};29;24;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=3,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('ExtraTreeClassifier',
                 ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None,
                                     criterion='gini', max_depth=None,
                                     max_features='auto', max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     random_state=None, splitter='random'))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 3, 'nmf__init': 'nndsvda', 'ExtraTreeClassifier__max_features': 'auto', 'ExtraTreeClassifier__criterion': 'gini'};3_4
ExtraTreesClassifier;0.8342245989304813;0.8080917874396135;0.8988526570048309;0.7633587786259541;5.725717992615524;0.8474576271186439;0.6944444444444444;2701439;4689176;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreesClassifier', ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='auto',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=100,
                     n_jobs=None, oob_score=False, random_state=None, verbose=0,
                     warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreesClassifier__criterion': ('gini', 'entropy'), 'ExtraTreesClassifier__max_features': ('auto', 'sqrt', 'log2')};29;31;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('ExtraTreesClassifier',
                 ExtraTreesClassifier(boo..., ccp_alpha=0.0,
                                      class_weight=None, criterion='entropy',
                                      max_depth=None, max_features='auto',
                                      max_leaf_nodes=None, max_samples=None,
                                      min_impurity_decrease=0.0,
                                      min_impurity_split=None,
                                      min_samples_leaf=1, min_samples_split=2,
                                      min_weight_fraction_leaf=0.0,
                                      n_estimators=100, n_jobs=None,
                                      oob_score=False, random_state=None,
                                      verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 7, 'nmf__init': 'nndsvda', 'ExtraTreesClassifier__max_features': 'auto', 'ExtraTreesClassifier__criterion': 'entropy'};3_4
GaussianProcessClassifier;0.7700534759358288;0.7689009661835748;0.8663647342995169;0.7189542483660132;7.942182751413608;0.6790123456790124;0.7638888888888888;4076273;2534775;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('GaussianProcessClassifier', GaussianProcessClassifier(copy_X_train=True, kernel=None, max_iter_predict=100,
                          multi_class='one_vs_rest', n_jobs=None,
                          n_restarts_optimizer=0, optimizer='fmin_l_bfgs_b',
                          random_state=None, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'GaussianProcessClassifier__n_restarts_optimizer': [0, 5, 10, 15], 'GaussianProcessClassifier__max_iter_predict': [10, 100, 1000]};29;27;7;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvd',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('GaussianProcessClassifier',
                 GaussianProcessClassifier(copy_X_train=True, kernel=None,
                                           max_iter_predict=100,
                                           multi_class='one_vs_rest',
                                           n_jobs=None, n_restarts_optimizer=5,
                                           optimizer='fmin_l_bfgs_b',
                                           random_state=None,
                                           warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 5, 'nmf__init': 'nndsvd', 'GaussianProcessClassifier__n_restarts_optimizer': 5, 'GaussianProcessClassifier__max_iter_predict': 100};3_4
GradientBoostingClassifier;0.839572192513369;0.8332125603864734;0.8951690821256038;0.7945205479452055;5.541048585059913;0.7837837837837838;0.8055555555555556;7650828;5850536;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('GradientBoostingClassifier', GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features=None, max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=1, min_samples_split=2,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'GradientBoostingClassifier__loss': ('deviance', 'exponential'), 'GradientBoostingClassifier__learning_rate': [0.1, 0.2, 0.001], 'GradientBoostingClassifier__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingClassifier__max_features': ('auto', 'sqrt', 'log2')};29;16;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('GradientBoostingClassifier',
                 GradientBoosting...
                                            learning_rate=0.1, loss='deviance',
                                            max_depth=3, max_features='log2',
                                            max_leaf_nodes=None,
                                            min_impurity_decrease=0.0,
                                            min_impurity_split=None,
                                            min_samples_leaf=1,
                                            min_samples_split=2,
                                            min_weight_fraction_leaf=0.0,
                                            n_estimators=100,
                                            n_iter_no_change=None,
                                            presort='deprecated',
                                            random_state=None, subsample=1.0,
                                            tol=0.0001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 5, 'nmf__init': 'nndsvdar', 'GradientBoostingClassifier__max_features': 'log2', 'GradientBoostingClassifier__loss': 'deviance', 'GradientBoostingClassifier__learning_rate': 0.1, 'GradientBoostingClassifier__criterion': 'friedman_mse'};3_4
KNeighborsClassifier;0.8074866310160428;0.8019323671497584;0.8779589371980676;0.7567567567567567;6.649261722809565;0.7368421052631579;0.7777777777777778;5966381;8122065;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('KNeighborsClassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'KNeighborsClassifier__n_neighbors': [3, 5, 7, 9], 'KNeighborsClassifier__weights': ('uniform', 'distance'), 'KNeighborsClassifier__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsClassifier__p': [1, 2]};29;28;6;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=9,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('KNeighborsClassifier',
                 KNeighborsClassifier(algorithm='brute', leaf_size=30,
                                      metric='minkowski', metric_params=None,
                                      n_jobs=None, n_neighbors=9, p=1,
                                      weights='uniform'))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 9, 'nmf__init': 'nndsvda', 'KNeighborsClassifier__weights': 'uniform', 'KNeighborsClassifier__p': 1, 'KNeighborsClassifier__n_neighbors': 9, 'KNeighborsClassifier__algorithm': 'brute'};3_4
LabelPropagation;0.7700534759358288;0.7611111111111112;0.8691425120772949;0.7074829931972788;7.942169923647348;0.6933333333333334;0.7222222222222222;9807852;4183375;train_test_split 30%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('LabelPropagation', LabelPropagation(gamma=20, kernel='rbf', max_iter=1000, n_jobs=None,
                 n_neighbors=7, tol=0.001))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'LabelPropagation__kernel': ('knn', 'rbf'), 'LabelPropagation__n_neighbors': [3, 5, 7, 9], 'LabelPropagation__max_iter': [100, 1000, 10000], 'LabelPropagation__tol': [0.01, 0.001, 0.0001]};29;39;7;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('LabelPropagation',
                 LabelPropagation(gamma=20, kernel='rbf', max_iter=10000,
                                  n_jobs=None, n_neighbors=7, tol=0.01))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 5, 'nmf__init': 'nndsvda', 'LabelPropagation__tol': 0.01, 'LabelPropagation__n_neighbors': 7, 'LabelPropagation__max_iter': 10000, 'LabelPropagation__kernel': 'rbf'};3_4
